StateAbbr,BPHIGH,CHECKUP,CHOLSCREEN,DEPRESSION,DIABETES,OBESITY
AK,34.18,66.86,78.16,19.44,10.96,35.53
AL,44.15,79.81,84.18,24.16,15.36,41.83
AR,42.37,78.32,83.42,25.3,13.85,41.02
AZ,33.4,72.18,82.63,20.32,12.19,33.26
CA,31.29,71.28,84.61,22.28,11.18,29.87
CO,29.15,71.07,84.6,22.68,9.6,27.09
CT,30.47,79.37,88.78,21.54,9.24,30.51
DC,29.4,76.4,89.75,21.3,8.15,24.9
DE,36.5,80.37,86.77,21.85,12.27,37.03
FL,36.21,76.71,84.52,18.82,12.82,34.67
GA,39.74,77.86,84.89,20.75,14.48,38.54
HI,30.71,73.1,80.3,16.82,12.31,27.79
IA,33.98,76.72,83.38,20.88,11.02,39.34
ID,31.77,72.88,79.73,22.82,10.52,33.39
IL,34.65,77.01,85.42,22.72,11.38,38.56
IN,37.04,78.71,84.73,26.18,12.42,39.74
KS,34.57,75.71,83.14,21.15,11.39,38.69
LA,43.1,80.87,84.69,27.29,15.34,42.15
MA,30.11,80.4,89.28,24.56,9.19,27.96
MD,36.34,78.51,88.3,21.36,11.72,36.35
ME,33.66,79.99,85.39,27.98,10.61,33.76
MI,35.87,79.1,86.11,27.53,11.58,37.89
MN,31.32,73.73,83.71,24.59,10.54,36.9
MO,36.8,77.23,82.18,25.76,12.31,38.86
MS,45.45,80.91,84.85,19.73,16.01,42.67
MT,32.88,70.72,81.15,24.61,10.37,33.4
NC,38.08,79.46,86.34,25.14,12.58,37.44
ND,34.18,74.39,82.86,20.75,10.91,38.83
NE,33.7,74.93,83.03,17.68,11.04,39.57
NH,31.0,75.76,86.78,23.86,8.9,31.66
NJ,31.61,77.05,88.32,16.18,10.1,29.68
NM,34.31,68.27,82.15,22.73,13.57,35.07
NV,33.92,72.17,83.61,21.79,11.67,34.59
NY,32.36,79.54,87.88,20.54,10.19,32.9
OH,36.48,78.4,84.44,26.56,12.54,39.02
OK,39.48,77.42,83.19,25.62,13.1,40.92
OR,33.39,72.09,82.52,27.14,11.53,35.41
RI,31.63,84.13,89.07,23.71,9.55,29.47
SC,39.91,80.29,85.29,22.56,14.97,39.06
SD,33.44,75.27,83.38,21.28,12.29,37.02
TN,39.74,76.77,84.78,30.16,13.71,39.92
TX,35.61,73.39,83.74,22.53,13.6,37.58
UT,30.13,71.69,80.58,26.48,9.93,31.68
VA,36.82,78.5,85.81,23.72,13.0,37.76
VT,30.45,74.59,84.67,27.15,8.43,30.41
WA,31.75,69.94,82.24,25.58,10.31,34.07
WI,32.64,76.51,84.8,23.89,11.1,38.86
WV,42.46,79.56,85.19,31.42,15.09,41.35
WY,31.03,68.43,81.42,21.62,10.5,34.1
